Name	Sex	Country	Continent
Abrahim & Bonaldo	F	Brazil	S America
Abrous & Bosmans	F	Tunisia	Africa
Absolon & Kratochvíl	M	Czech Republic	Europe
Agnarsson	M	Iceland	Europe
Agnarsson & Chomitz	M	Iceland	Europe
Agnarsson & Goh	M	Iceland	Europe
Agnarsson & Kuntner	M	Iceland	Europe
Agnarsson & Sargeant	M	Iceland	Europe
Agnarsson & Van Patten	M	Iceland	Europe
Agnarsson, Kuntner & Jencik	M	Iceland	Europe
Agnarsson, Veve & Kuntner	M	Iceland	Europe
Ahmed, Anam, Saikia, Manthen & Saikia	M	Iceland	Europe
Ahmed, Sumukha, Khalap, Mohan & Jadhav	M	Iceland	Europe
Aisen & Ramírez	M	Argentina	S America
Akpınar	F	Turkey	Asia
Alayón	M	Cuba	N America
Alayón & Víquez	M	Cuba	N America
Alderweireldt	M	Belgium	Europe
Alderweireldt & Jocqué	M	Belgium	Europe
Alicata	M	Italy	Europe
Alicata & Cantarella	M	Italy	Europe
Almeida-Silva, Brescovit & Dias	F	Brazil	S America
Almeida-Silva, Griswold & Brescovit	F	Brazil	S America
Almeida, Salvatierra & de Morais	M	Brazil	S America
Álvares, Loyola & De Maria	M	Brazil	S America
Álvarez-Padilla	M	Mexico	N America
Álvarez-Padilla, Kallal & Hormiga	M	Mexico	N America
Álvarez-Padilla, Ubick & Griswold	M	Mexico	N America
Andreeva	F	Russia	Europe
Andreeva & Tyschchenko	F	Russia	Europe
Andreeva, Hęciak & Prószyński	F	Poland	Europe
Andriamalala	F	United States of America	N America
Archer	M	United States of America	N America
Arita	M	Japan	Asia
Arnedo & Ribera	M	Spain	Europe
Arnedo, Oromí & Ribera	M	Spain	Europe
Audouin	M	France	Europe
Ausserer	M	Austria	Europe
Azarkina	F	Russia	Europe
Azarkina & Foord	F	Russia 	Europe
Azarkina & Komnenov	F	Russia 	Europe
Azarkina & Zamani	F	Russia 	Europe
Azarkina, Wesołowska & Russell-Smith	F	Russia	Europe
Baba	M	Japan	Asia
Baba & Tanikawa	M	Japan	Asia
Bacelar	F	Portugal	Europe
Baehr	F	Germany	Europe
Baehr & Baehr	F	Australia 	Oceania
Baehr & Churchill	F	Australia 	Oceania
Baehr & Harvey	F	Australia 	Oceania
Baehr & Jocqué	F	Australia 	Oceania
Baehr & Ott	F	Australia 	Oceania
Baehr & Raven	F	Australia 	Oceania
