Resampled_Scientist	Gender	Type
Named after Anthony van Harten, collector of the type specimens, and in recognition of his contribution to spider research in the Afrotropical Region.	M	Scientist
Prof. Mingsheng Zhu	M	Scientist
R. Vuattoux	M	Scientist
R Thaxter	M	Scientist
Dr Zhisheng Zhang	M	Scientist
H. Tokumoto leg.	M	Scientist
M H Zimmerman	M	Scientist
patronym in honor of Guo Zheng, who collected the type specimens	M	Scientist
Teodor Thorell	M	Scientist
Daniel Veth	M	Scientist
Alexey A. Zyuzin	M	Scientist
Dr. Vinson	M	Scientist
dedicated to Dr. Guo Zheng (Beijing) for his great help on collecting the spiders in Xishuangbanna	M	Scientist
M. J. L. Weyers	M	Scientist
Vachonio Vachon	M	Scientist
E. Zavattario Zavattari	M	Scientist
Hajime Yoshida (Yamagata, Japan) 	M	Scientist
K. A. J. Wise	M	Scientist
in honor of Chinese famous arachnologist, Professor Zhao Jingzhao	M	Scientist
Dr. Masaaki TOMOKUN	M	Scientist
Paul Zborowski	M	Scientist
Prof. Dr Chang-Min Yin (Changsha)	M	Scientist
Professor E. Perceval Wright, M. D., F. L. S	M	Scientist
dedicated to the Swedish lycosid specialist and my good friend Dr. Torbjo¨rn Kronestedt, one of the few specialists who has seen a real Passiena	M	Scientist
Dr. Marek Żabka	M	Scientist
Darrell Ubick	M	Scientist
Dr. Zhiyuan Yao	M	Scientist
V. P. Tyshchenko	M	Scientist
Nobuki Yasuda	M	Scientist
named after the late Seiji Uozumi, one of the pioneers of cave biology in Japan	M	Scientist
m in honor of Víctor H. Jiménez Arcos, a Mexican herpetologist who saw and collected the first specimen of the species	M	Scientist
Alfred R. Wallace	M	Scientist
A.T. Urquhart	M	Scientist
Wolfgang Nentwig	M	Scientist
Dr. W. Wittmer	M	Scientist
Geoff Thompson	M	Scientist
Hengmei Yan	M	Scientist
Mr. Turbott	M	Scientist
Dr R.W. Taylor	M	Scientist
Takeo Yaginuma	M	Scientist
M. Vossion	M	Scientist
Van Straelen	M	Scientist
Mr Robert Whyte, Australian naturalist, arachnologist and photographer.	M	Scientist
Toby Gardner	M	Scientist
Dr. Juuo DE VILHENA	M	Scientist
Tullgren	M	Scientist
Szymon Teneubaum	M	Scientist
Dr H. Tanaka	M	Scientist
Herrn Justus Weiler leg.	M	Scientist
R. Wharton leg.	M	Scientist
SL Zonstein	M	Scientist
Guo Tang	M	Scientist
Dr. F. R. Wanless	M	Scientist
in honor of Prof. Yongqiang Zhang, who collected the type specimens and kindly sent them to us	M	Scientist
A.S. Utochki Utochkin	M	Scientist
named for German coleopterist Thomas Wagner, in recognition of the many new species of Afrotropical Corinnidae that he has collected by canopy fogging	M	Scientist
 honoring Professor Yajun Xu, who worked on the Oonopidae of China	M	Scientist
Richard Thornton	M	Scientist
Dr Sandro Tripepi	M	Scientist
Dr Hubert Zandstra	M	Scientist
Dr. Nobuo Tsurusaki	M	Scientist
Mr. R. Zimmerman	M	Scientist
E. G. Williams, Jr.	M	Scientist
Xiao Xiaoqin	M	Scientist
Dr . W. H. Whitcomb, Professor Emeritus, University of Florida	M	Scientist
Dr F. Werner	M	Scientist
dedicated to Dr Wolfgang Wranik, Rostock, Germany, an ardent supporter of the conservation of Socotra’s unique natural environment, who collected half the specimens so far known	M	Scientist
Dr Qian Wang (Shanghai Institute for Biological Sciences, Chinese Academy of Sciences)	M	Scientist
Prof. Yanfeng Tong	M	Scientist
L. Winsor	M	Scientist
a patronym in honor of the collector Huifeng Zhao	M	Scientist
Alejandro Valdez Mondragon 	M	Scientist
A. Vatova	M	Scientist
Prof. J . T. WIEBES	M	Scientist
in honor of the collector Yunchun Li	M	Scientist
Paul Zborowski	M	Scientist
Two adult male examples were received from the Rev. S. J. Whitmee, by whom they were found in the island of Samoa, and kindly sent to me, together with a fen other Spiders.	M	Scientist
named after the late Hajime Yoshida (Yamagata, Japan) for his great contribution in the study of East Asian Theridiidae	M	Scientist
Velitchkovsky, V.	M	Scientist
Mr. Zhigang Chen	M	Scientist
Col. Yerbury	M	Scientist
after the name of Dr. Wang Xinping	M	Scientist
Col. John J. Young	M	Scientist
Upham	M	Scientist
Mr. Doug Wallace	M	Scientist
Vincenzo Vomero	M	Scientist
R. VARRIALE	M	Scientist
collector: After Dr. Geoff Williams, entomologist, collector of the holotype specimen	M	Scientist
after Iranian arachnologist Alireza Zamani (Tehran)	M	Scientist
Westring	M	Scientist
Professor Byron Wilson	M	Scientist
A. Villiers	M	Scientist
M. Uhlig	M	Scientist
named as a reverence to my teacher, Dr. Zaheer Ahmad	M	Scientist
T. YAMANO leg.	M	Scientist
Augusto Vigna Taglianti	M	Scientist
C. L. Wilton	M	Scientist
J.J. Van Mol	M	Scientist
The specific epithet honors the arachnologist Changmin Yin, a pioneering liphistiid specialist in China.	M	Scientist
in honour of D.W. Wrase, the German carabid specialist who collected the specimen	M	Scientist
Williw Gertsch	M	Scientist
Simon Tillieri	M	Scientist
G. F. de Witte	M	Scientist
JI Townsend	M	Scientist
P. VIETTE	M	Scientist
Named after Mr. Naonori TAKEUCHI, Kanagawa	M	Scientist
Walter	M	Scientist
CK Tarabaev	M	Scientist
Barone Dr E. Toll	M	Scientist
in honor of Dr. WU Min, who collected the type specimen	M	Scientist
Boris P. Zakharov	M	Scientist
FW Waugh	M	Scientist
Named after the Canadian arachnologist Rick West	M	Scientist
Mr. F. Treleaven	M	Scientist
W. Weyrauch	M	Scientist
Mr Tom Weir	M	Scientist
Dr. Jehan Vellard	M	Scientist
Jan Swammerdam	M	Scientist
In honour of Mr Jeff Wright, Queensland Museum, whose consummate skills in the photography of small terrestrial invertebrates are honored.	M	Scientist
M. Verhaagh	M	Scientist
Mr. J. M. Valentine	M	Scientist
Dr. Vivekananda Biswas	M	Scientist
Dr A. Willey 	M	Scientist
in honor of late Professor ZHU Chuan-Dian ( 1925 - 2003) , who is a pioneer arachnologist in China	M	Scientist
Patronym for Prof. C. O. Whitman, University of Chicago.	M	Scientist
Dr. K Wiedenmeyer	M	Scientist
Entomologist C. Van Volxem	M	Scientist
I. W. B. Thorton	M	Scientist
Prof Zlatko Tomsic	M	Scientist
named after mister Zhiwu Chen, who helped in the collection of the type specimens	M	Scientist
Turkish arachnologist Dr Aydın Topçu	M	Scientist
Dr. L. J. TOXOPEUS	M	Scientist
Dr. M. Würmli	M	Scientist
C.M. Veiga leg	M	Scientist
in honour of K. Tanoh for his perseverance during fieldwork and his great dedication to nature conservation.	M	Scientist
J. Van Keer	M	Scientist
Dr T Wolff	M	Scientist
Petro Veratti, leg.	M	Scientist
Mr Pat Walker	M	Scientist
named for Rick Vetter, who spent many hours searching for and rearing these remarkable spiders	M	Scientist
dedicated to the Turkish entomologist Mustafa Tanatmış, a respected colleague of the authors.	M	Scientist
Jaroslav Svatoň	M	Scientist
This spider, found at Eleuthera in the Bahamas, was sent to us by Mr. H. F. Wickham, for whom we have named it.	M	Scientist
